UF,COD,MUN,DESP_LEGISLATIVO
MG,3103603,Arantina,998595.74
MG,3103702,Araponga,1021538.32
MG,3103751,Araporã,4874200.22
MG,3103801,Arapuá,863246.47
MG,3103900,Araújos,753286.17
MG,3104007,Araxá,20236766.07
MG,3104106,Arceburgo,1348133.08
MG,3104205,Arcos,1972488.85
MG,3104304,Areado,1319029.97
MG,3104403,Argirita,467981.98
MG,3104452,Aricanduva,895671.26
MG,3104502,Arinos,2749747.72
MG,3104601,Astolfo Dutra,1511934.83
MG,3104700,Ataléia,1662615.8
MG,3104809,Augusto de Lima,1327302.19
MG,3104908,Baependi,1929111.12
MG,3105004,Baldim,1068772.72
MG,3105103,Bambuí,3036590.59
MG,3105202,Bandeira,1119234.39
MG,3105301,Bandeira do Sul,732396.4
MG,3105400,Barão de Cocais,4691273.74
MG,3105509,Barão de Monte Alto,154152.31
MG,3105608,Barbacena,10327798.9
MG,3105707,Barra Longa,1235085.93
MG,3105905,Barroso,1619031.57
MG,3106002,Bela Vista de Minas,2169256.79
MG,3106101,Belmiro Braga,1045692.53
MG,3106200,Belo Horizonte,212657007.43
MG,3106309,Belo Oriente,11159874.38
MG,3106408,Belo Vale,1404104.45
MG,3106507,Berilo,1423669.02
MG,3106606,Bertópolis,973923.8
MG,3106655,Berizal,960877.68
MG,3106705,Betim,56408603.76
MG,3106804,Bias Fortes,856975.12
MG,3106903,Bicas,1730796.12
MG,3107000,Biquinhas,956457.9
MG,3107109,Boa Esperança,2047655.3
MG,3107208,Bocaina de Minas,792594.28
MG,3107307,Bocaiúva,1974840.7
MG,3107406,Bom Despacho,4010817.51
MG,3107505,Bom Jardim de Minas,785635.48
MG,3107604,Bom Jesus da Penha,564022.9
MG,3107703,Bom Jesus do Amparo,841944.26
MG,3107802,Bom Jesus do Galho,1885075.38
MG,3107901,Bom Repouso,734247.41
MG,3108008,Bom Sucesso,1742662.97
MG,3108107,Bonfim,1015519.13
MG,3108206,Bonfinópolis de Minas,
MG,3108255,Bonito de Minas,1351463.52
MG,3108305,Borda da Mata,1539463.34
MG,3108404,Botelhos,1027245.82
MG,3108503,Botumirim,1202669.82
MG,3108552,Brasilândia de Minas,2226695.03
MG,3108602,Brasília de Minas,2789623.73
MG,3108701,Brás Pires,709844.07
MG,3108800,Braúnas,1093527.9
MG,3108909,Brasópolis,757856.48
MG,3109006,Brumadinho,13858249.89
MG,3109105,Bueno Brandão,964523.95
MG,3109204,Buenópolis,1479619.76
MG,3109253,Bugre,785245.96
MG,3109303,Buritis,3756020.39
MG,3109402,Buritizeiro,3500299.97
MG,3109451,Cabeceira Grande,1860089.69
MG,3109501,Cabo Verde,571647.66
MG,3109600,Cachoeira da Prata,1075449.16
MG,3109709,Cachoeira de Minas,531372.83
MG,3109808,Cachoeira Dourada,2169801.34
MG,3109907,Caetanópolis,1178144.82
MG,3110004,Caeté,4521569.16
MG,3110103,Caiana,777006.67
MG,3110202,Cajuri,1104821.21
MG,3110301,Caldas,1266265.71
MG,3110400,Camacho,754029.69
MG,3110509,Camanducaia,2770327.52
MG,3110608,Cambuí,1949511.75
MG,3110707,Cambuquira,1420358.28
MG,3110806,Campanário,
MG,3110905,Campanha,2508553.48
MG,3111002,Campestre,1619768.43
MG,3111101,Campina Verde,2950910.7
MG,3111150,Campo Azul,1053771.33
MG,3111200,Campo Belo,3854477.85
MG,3111309,Campo do Meio,1619990.39
MG,3111408,Campo Florido,2271336.9
MG,3111507,Campos Altos,2976067.15
MG,3111606,Campos Gerais,2131081.68
MG,3111705,Canaã,728753.76
MG,3111804,Canápolis,2139340.48
MG,3111903,Cana Verde,593850.24
MG,3112000,Candeias,2105089.61
MG,3112059,Cantagalo,3858373.04
MG,3112109,Caparaó,931502.31
MG,3112208,Capela Nova,775306
MG,3112307,Capelinha,3540045.56
MG,3112406,Capetinga,917127.17
MG,3112505,Capim Branco,1220624.51
MG,3112604,Capinópolis,2551075.28
MG,3112653,Capitão Andrade,1094964.04
MG,3112703,Capitão Enéas,2223450.12
MG,3112802,Capitólio,1600000
MG,3112901,Caputira,848045.08
MG,3113008,Caraí,2151029.48
MG,3113107,Caranaíba,1128423.49
MG,3113206,Carandaí,2331871.02
MG,3113305,Carangola,2928957.18
MG,3113404,Caratinga,7733261.21
MG,3113503,Carbonita,
MG,3113602,Careaçu,1185462.86
MG,3113701,Carlos Chagas,2661655.03
MG,3113800,Carmésia,129311.07
MG,3113909,Carmo da Cachoeira,1742033.95
MG,3114006,Carmo da Mata,1901242.05
MG,3114105,Carmo de Minas,1738692.56
MG,3114204,Carmo do Cajuru,1554465.13
MG,3114303,Carmo do Paranaíba,2850657.36
MG,3114402,Carmo do Rio Claro,1884796.52
MG,3114501,Carmópolis de Minas,
MG,3114550,Carneirinho,3877421.23
MG,3114600,Carrancas,503557.29
MG,3114709,Carvalhópolis,
MG,3114808,Carvalhos,
MG,3114907,Casa Grande,937349.69
MG,3115003,Cascalho Rico,1330492.39
MG,3115102,Cássia,1959396.68
MG,3115201,Conceição da Barra de Minas,1032780.75
MG,3115300,Cataguases,5937521.86
MG,3115359,Catas Altas,2147626.87
MG,3115409,Catas Altas da Noruega,961371.72
MG,3115458,Catuji,1096507.91
MG,3115474,Catuti,1119957.61
MG,3115508,Caxambu,2372330.58
MG,3115607,Cedro do Abaeté,350195.97
MG,3115706,Central de Minas,
MG,3115805,Centralina,2039431.76
MG,3115904,Chácara,881571.89
MG,3116001,Chalé,1146703.75
MG,3116100,Chapada do Norte,1703225.32
MG,3116159,Chapada Gaúcha,2228948.64
MG,3116209,Chiador,1001555.98
MG,3116308,Cipotânea,887543.49
MG,3116407,Claraval,1056805.66
MG,3116506,Claro dos Poções,671201.58
MG,3116605,Cláudio,2636811.49
MG,3116704,Coimbra,894483.15
MG,3116803,Coluna,988216.73
MG,3116902,Comendador Gomes,945545.84
MG,3117009,Comercinho,2531403.31
MG,3117108,Conceição da Aparecida,939111.93
MG,3117207,Conceição das Pedras,470949.37
MG,3117306,Conceição das Alagoas,4338017.92
MG,3117405,Conceição de Ipanema,932899.56
MG,3117504,Conceição do Mato Dentro,7819365.3
MG,3117603,Conceição do Pará,1561069.4
MG,3117702,Conceição do Rio Verde,1258710.9
MG,3117801,Conceição dos Ouros,1047388.23
MG,3117836,Cônego Marinho,1192000
MG,3117876,Confins,2651474.15
MG,3117900,Congonhal,580808.69
MG,3118007,Congonhas,18822612.51
MG,3118106,Congonhas do Norte,862947.98
MG,3118205,Conquista,1956076.35
MG,3118304,Conselheiro Lafaiete,8110694.92
MG,3118403,Conselheiro Pena,2545986.39
MG,3118502,Consolação,
MG,3118601,Contagem,66828024.62
MG,3118700,Coqueiral,1183831.38
MG,3118809,Coração de Jesus,2584437.67
MG,3118908,Cordisburgo,831229.69
MG,3119005,Cordislândia,850600.32
MG,3119104,Corinto,3094161.43
MG,3119203,Coroaci,1340534.61
MG,3119302,Coromandel,475278.11
MG,3119401,Coronel Fabriciano,8450065.17
MG,3119500,Coronel Murta,
MG,3119609,Coronel Pacheco,860879.43
MG,3119708,Coronel Xavier Chaves,298454.76
MG,3119807,Córrego Danta,1149086.46
MG,3119906,Córrego do Bom Jesus,
MG,3119955,Córrego Fundo,1494923.92
MG,3120003,Córrego Novo,748426.45
MG,3120102,Couto de Magalhães de Minas,1057917.04
MG,3120151,Crisólita,
MG,3120201,Cristais,1480107.7
MG,3120300,Cristália,1120820.41
MG,3120409,Cristiano Otoni,945733.73
MG,3120508,Cristina,883500.33
MG,3120607,Crucilândia,940987.04
MG,3120706,Cruzeiro da Fortaleza,959819.44
MG,3120805,Cruzília,1589941.42
MG,3120839,Cuparaque,1029342.02
MG,3120870,Curral de Dentro,940650.91
MG,3120904,Curvelo,6487559.91
MG,3121001,Datas,932351.68
MG,3121100,Delfim Moreira,515224.85
MG,3121209,Delfinópolis,1017647.93
MG,3121258,Delta,2309629.51
MG,3121308,Descoberto,1068865.21
MG,3121407,Desterro de Entre Rios,720677.42
MG,3121506,Desterro do Melo,1025327.9
MG,3121605,Diamantina,5209469.85
MG,3121704,Diogo de Vasconcelos,778803.25
MG,3121803,Dionísio,
MG,3121902,Divinésia,897953.97
MG,3122009,Divino,1465163.58
MG,3122108,Divino das Laranjeiras,
MG,3122207,Divinolândia de Minas,
MG,3122306,Divinópolis,20326668.06
MG,3122355,Divisa Alegre,1127960.57
MG,3122405,Divisa Nova,719624.48
MG,3122454,Divisópolis,1501333.46
MG,3122470,Dom Bosco,1125361.93
MG,3122504,Dom Cavati,880206.05
MG,3122603,Dom Joaquim,932054.73
MG,3122702,Dom Silvério,750354.22
MG,3122801,Dom Viçoso,775798.95
MG,3122900,Dona Eusébia,2025961.78
MG,3123007,Dores de Campos,1034926.82
MG,3123106,Dores de Guanhães,919402.18
MG,3123205,Dores do Indaiá,1478846.8
MG,3123304,Dores do Turvo,884331.48
MG,3123403,Doresópolis,943500.14
MG,3123502,Douradoquara,1030333.44
MG,3123528,Durandé,
MG,3123601,Elói Mendes,1171465.54
MG,3123700,Engenheiro Caldas,1529388.41
MG,3123809,Engenheiro Navarro,1114628.74
MG,3123858,Entre Folhas,1099875.88
MG,3123908,Entre Rios de Minas,1758688.96
MG,3124005,Ervália,2166923.93
MG,3124104,Esmeraldas,4550544.1
MG,3124203,Espera Feliz,2641365.56
MG,3124302,Espinosa,2790960.44
MG,3124401,Espírito Santo do Dourado,354170.08
MG,3124500,Estiva,864741.23
MG,3124609,Estrela Dalva,743476.24
MG,3124708,Estrela do Indaiá,
MG,3124807,Estrela do Sul,1787047.31
MG,3124906,Eugenópolis,1179536.22
MG,3125002,Ewbank da Câmara,978844.21
MG,3125101,Extrema,12710522.48
MG,3125200,Fama,903176.27
MG,3125309,Faria Lemos,
MG,3125408,Felício dos Santos,1188000
MG,3125507,São Gonçalo do Rio Preto,1015996.29
MG,3125606,Felisburgo,1034142.35
MG,3125705,Felixlândia,1741331.27
MG,3125804,Fernandes Tourinho,798443
MG,3125903,Ferros,1044517.38
MG,3125952,Fervedouro,1238517.4
MG,3126000,Florestal,1306623.76
MG,3126109,Formiga,4796512.34
MG,3126208,Formoso,1616668.5
MG,3126307,Fortaleza de Minas,728444.69
MG,3126406,Fortuna de Minas,1049301.65
MG,3126505,Francisco Badaró,1390588.31
MG,3126604,Francisco Dumont,1119027.97
MG,3126703,Francisco Sá,2917176.86
MG,3126752,Franciscópolis,1109084.77
MG,3126802,Frei Gaspar,1039838.19
MG,3126901,Frei Inocêncio,
MG,3126950,Frei Lagonegro,1077384.07
MG,3127008,Fronteira,2596233.34
MG,3127057,Fronteira dos Vales,1057767.12
MG,3127073,Fruta de Leite,1073331.57
MG,3127107,Frutal,7027867.27
MG,3127206,Funilândia,2554701.39
MG,3127305,Galiléia,811976.12
MG,3127339,Gameleiras,1215205.69
MG,3127354,Glaucilândia,1045044.77
MG,3127370,Goiabeira,
MG,3127388,Goianá,1206943.84
MG,3127404,Gonçalves,610157.28
MG,3127503,Gonzaga,1034431.98
MG,3127602,Gouveia,1627827.24
MG,3127701,Governador Valadares,20174284.19
MG,3127800,Grão Mogol,2322558.94
MG,3127909,Grupiara,1100407.3
MG,3128006,Guanhães,3304396.36
MG,3128105,Guapé,2098712.31
MG,3128204,Guaraciaba,1106675.1
MG,3128253,Guaraciama,917995.35
MG,3128303,Guaranésia,1614390.69
MG,3128402,Guarani,814302.78
MG,3128501,Guarará,1092812.42
MG,3128600,Guarda-Mor,972316.28
MG,3128709,Guaxupé,4704226.2
MG,3128808,Guidoval,926260.25
MG,3128907,Guimarânia,1610018.86
MG,3129004,Guiricema,
MG,3129103,Gurinhatã,1275657.94
MG,3129202,Heliodora,641476.34
MG,3129301,Iapu,1524259.51
MG,3129400,Ibertioga,713553.88
MG,3129509,Ibiá,
MG,3129608,Ibiaí,1321471.07
MG,3129657,Ibiracatu,1108528.4
MG,3129707,Ibiraci,1682787.28
MG,3129806,Ibirité,15078256.7
MG,3129905,Ibitiúra de Minas,716440.03
MG,3130002,Ibituruna,849934.01
MG,3130051,Icaraí de Minas,1389448.02
MG,3130101,Igarapé,4496544.15
MG,3130200,Igaratinga,1643161.14
MG,3130309,Iguatama,446441.97
MG,3130408,Ijaci,1133195.54
MG,3130507,Ilicínea,1003088.55
MG,3130556,Imbé de Minas,1030239.27
MG,3130606,Inconfidentes,722268.98
MG,3130655,Indaiabira,1069291
MG,3130705,Indianópolis,2569899.57
MG,3130804,Ingaí,403123.3
MG,3130903,Inhapim,2827886.54
MG,3131000,Inhaúma,1261871.88
MG,3131109,Inimutaba,1014375.82
MG,3131158,Ipaba,2162082.44
MG,3131208,Ipanema,2294937.65
MG,3131307,Ipatinga,32079523.42
MG,3131406,Ipiaçu,1636302.08
MG,3131505,Ipuiúna,739743.38
MG,3131604,Iraí de Minas,1573472.17
MG,3131703,Itabira,18332588.64
MG,3131802,Itabirinha de Mantena,
MG,3131901,Itabirito,12229489.17
MG,3132008,Itacambira,1074038.81
MG,3132107,Itacarambi,2221654.95
MG,3132206,Itaguara,1625588.6
MG,3132305,Itaipé,
MG,3132404,Itajubá,7745173.58
MG,3132503,Itamarandiba,2690780.81
MG,3132602,Itamarati de Minas,1091947.32
MG,3132701,Itambacuri,2554291.18
MG,3132800,Itambé do Mato Dentro,898468.83
MG,3132909,Itamogi,1011529.34
MG,3133006,Itamonte,1074924
MG,3133105,Itanhandu,1133326.49
MG,3133204,Itanhomi,
MG,3133303,Itaobim,
MG,3133402,Itapagipe,2615187.2
MG,3133501,Itapecerica,2510492.12
MG,3133600,Itapeva,2139277.97
MG,3133709,Itatiaiuçu,2771141.76
MG,3133758,Itaú de Minas,2276177.04
MG,3133808,Itaúna,9901781.94
MG,3133907,Itaverava,938543.89
MG,3134004,Itinga,1444298.9
MG,3134103,Itueta,1251539.91
MG,3134202,Ituiutaba,12720394.47
MG,3134301,Itumirim,466034.49
MG,3134400,Iturama,9728509.64
MG,3134509,Itutinga,436810.23
MG,3134608,Jaboticatubas,
MG,3134707,Jacinto,1453981.89
MG,3134806,Jacuí,1403445.33
MG,3134905,Jacutinga,2901172.4
MG,3135001,Jaguaraçu,785186.46
MG,3135050,Jaíba,4638461.13
MG,3135076,Jampruca,
MG,3135100,Janaúba,6248862.37
MG,3135209,Januária,3932102.56
MG,3135308,Japaraíba,718893.01
MG,3135357,Japonvar,1024286.21
MG,3135407,Jeceaba,2266391.52
MG,3135456,Jenipapo de Minas,990995.52
MG,3135506,Jequeri,2039992.4
MG,3135605,Jequitaí,1129409.86
MG,3135704,Jequitibá,2629979.56
MG,3135803,Jequitinhonha,2638878.48
MG,3135902,Jesuânia,878105.17
MG,3136009,Joaíma,
MG,3136108,Joanésia,1030968.73
MG,3136207,João Monlevade,9802393.84
MG,3136306,João Pinheiro,5742906.84
MG,3136405,Joaquim Felício,1298615.3
MG,3136504,Jordânia,1426677.94
MG,3136520,José Gonçalves de Minas,958058.87
MG,3136553,José Raydan,9431.5
MG,3136579,Josenópolis,955007.03
MG,3136603,Nova União,884772.8
MG,3136652,Juatuba,6112882.95
MG,3136702,Juiz de Fora,44503339.84
MG,3136801,Juramento,1087294.93
MG,3136900,Juruaia,1078323.13
MG,3136959,Juvenília,993057.62
MG,3137007,Ladainha,1751021.02
MG,3137106,Lagamar,1372567.76
MG,3137205,Lagoa da Prata,2582847.15
MG,3137304,Lagoa dos Patos,959377.82
MG,3137403,Lagoa Dourada,836371.22
MG,3137502,Lagoa Formosa,1347603.1
MG,3137536,Lagoa Grande,1321826.32
MG,3137601,Lagoa Santa,14174979.76
MG,3137700,Lajinha,
MG,3137809,Lambari,2471534.61
MG,3137908,Lamim,858962.37
MG,3138005,Laranjal,1143879.4
MG,3138104,Lassance,1425674.95
MG,3138203,Lavras,5860280.78
MG,3138302,Leandro Ferreira,914660.29
MG,3138351,Leme do Prado,1168490.25
MG,3138401,Leopoldina,4795786.45
MG,3138500,Liberdade,816241.86
MG,3138609,Lima Duarte,1745633.11
MG,3138625,Limeira do Oeste,2854007.25
MG,3138658,Lontra,1079240.3
MG,3138674,Luisburgo,175617.54
MG,3138682,Luislândia,1026989.88
MG,3138708,Luminárias,769420.87
MG,3138807,Luz,1632634.04
MG,3138906,Machacalis,1013560.49
MG,3139003,Machado,3135305.58
MG,3139102,Madre de Deus de Minas,1254165.71
MG,3139201,Malacacheta,2373624.96
MG,3139250,Mamonas,1179952.07
MG,3139300,Manga,2425972.01
MG,3139409,Manhuaçu,6718282.76
MG,3139508,Manhumirim,
MG,3139607,Mantena,2876920.78
MG,3139706,Maravilhas,1005240.94
MG,3139805,Mar de Espanha,1026059.67
MG,3139904,Maria da Fé,1213088.22
MG,3140001,Mariana,16904923.07
MG,3140100,Marilac,889418.58
MG,3140159,Mário Campos,1775732.17
MG,3140209,Maripá de Minas,834383.46
MG,3140308,Marliéria,1293167.47
MG,3140407,Marmelópolis,672277.12
MG,3140506,Martinho Campos,1661419.29
MG,3140530,Martins Soares,1158585.46
MG,3140555,Mata Verde,1126419.93
MG,3140605,Materlândia,1134717.09
MG,3140704,Mateus Leme,2852837.49
MG,3140803,Matias Barbosa,3095944.99
MG,3140852,Matias Cardoso,3246302.11
MG,3140902,Matipó,2245747.28
MG,3141009,Mato Verde,1648606.5
MG,3141108,Matozinhos,4918804.38
MG,3141207,Matutina,964083.42
MG,3141306,Medeiros,927094.26
MG,3141405,Medina,2372863.68
MG,3141504,Mendes Pimentel,1062000
MG,3141603,Mercês,933507.79
MG,3141702,Mesquita,852967.2
MG,3141801,Minas Novas,2744098.15
MG,3141900,Minduri,694916.93
MG,3142007,Mirabela,1836341.79
MG,3142106,Miradouro,1380148.41
MG,3142205,Miraí,1806072.9
MG,3142254,Miravânia,1082035.11
MG,3142304,Moeda,1081835.79
MG,3142403,Moema,794264.51
MG,3142502,Monjolos,983379.12
MG,3142601,Monsenhor Paulo,1068332.62
MG,3142700,Montalvânia,1953025.19
MG,3142809,Monte Alegre de Minas,1924357.65
MG,3142908,Monte Azul,2342498.36
MG,3143005,Monte Belo,1250873.31
MG,3143104,Monte Carmelo,2936052.81
MG,3143153,Monte Formoso,
MG,3143203,Monte Santo de Minas,1849364.86
MG,3143302,Montes Claros,26570117.66
MG,3143401,Monte Sião,2931095.25
MG,3143450,Montezuma,967360.25
MG,3143500,Morada Nova de Minas,1602874.3
MG,3143609,Morro da Garça,977952.16
MG,3143708,Morro do Pilar,870080.82
MG,3143807,Munhoz,
MG,3143906,Muriaé,9215723.78
MG,3144003,Mutum,
MG,3144102,Muzambinho,
MG,3144201,Nacip Raydan,968421.86
MG,3144300,Nanuque,
MG,3144359,Naque,1165354.13
MG,3144375,Natalândia,1242314.73
MG,3144409,Natércia,649205.87
MG,3144508,Nazareno,924264.14
MG,3144607,Nepomuceno,2937874.78
MG,3144656,Ninheira,
MG,3144672,Nova Belém,
MG,3144706,Nova Era,2413371.14
MG,3144805,Nova Lima,27463744.64
MG,3144904,Nova Módica,
MG,3145000,Nova Ponte,2911086.75
MG,3145059,Nova Porteirinha,1155133.11
MG,3145109,Nova Resende,1846296.86
MG,3145208,Nova Serrana,9761164.27
MG,3145307,Novo Cruzeiro,2821778.25
MG,3145356,Novo Oriente de Minas,1509864.67
MG,3145372,Novorizonte,1136844.85
MG,3145406,Olaria,824954.37
MG,3145455,Olhos-d'Água,866113.92
MG,3145505,Olímpio Noronha,948708.43
MG,3145604,Oliveira,3696891.2
MG,3145703,Oliveira Fortes,836495.81
MG,3145802,Onça de Pitangui,
MG,3145851,Oratórios,970623.69
MG,3145877,Orizânia,987847.75
MG,3145901,Ouro Branco,8031062.17
MG,3146008,Ouro Fino,2444511.92
MG,3146107,Ouro Preto,20896036.63
MG,3146206,Ouro Verde de Minas,1064905.33
MG,3146255,Padre Carvalho,1198811.5
MG,3146305,Padre Paraíso,
MG,3146404,Paineiras,817642.3
MG,3146503,Pains,1112409.53
MG,3146552,Pai Pedro,1182508.6
MG,3146602,Paiva,825380.8
MG,3146701,Palma,1199854.21
MG,3146750,Palmópolis,910326.62
MG,3146909,Papagaios,1668490.51
MG,3147006,Paracatu,12911939.08
MG,3147105,Pará de Minas,8918553.76
MG,3147204,Paraguaçu,1453197.71
MG,3147303,Paraisópolis,985664.76
MG,3147402,Paraopeba,2828117.76
MG,3147501,Passabém,823513.21
MG,3147600,Passa Quatro,270345
MG,3147709,Passa Tempo,
MG,3147808,Passa-Vinte,821661.84
MG,3147907,Passos,7573996.88
MG,3147956,Patis,1127386.77
MG,3148004,Patos de Minas,12459454.97
MG,3148103,Patrocínio,8110134.73
MG,3148202,Patrocínio do Muriaé,996126.49
MG,3148301,Paula Cândido,657741.48
MG,3148400,Paulistas,
MG,3148509,Pavão,1008088.36
MG,3148608,Peçanha,2509064.51
MG,3148707,Pedra Azul,1971432.98
MG,3148756,Pedra Bonita,1228486.87
MG,3148806,Pedra do Anta,952528.21
MG,3148905,Pedra do Indaiá,892907.14
MG,3149002,Pedra Dourada,656481.83
MG,3149101,Pedralva,623765.27
MG,3149150,Pedras de Maria da Cruz,1353327.2
MG,3149200,Pedrinópolis,1149588.99
MG,3149309,Pedro Leopoldo,9764684.21
MG,3149408,Pedro Teixeira,878660.02
MG,3149507,Pequeri,1130028.58
MG,3149606,Pequi,1158401.95
MG,3149705,Perdigão,1106156.51
MG,3149804,Perdizes,4163641.95
MG,3149903,Perdões,2600819.33
MG,3149952,Periquito,
MG,3150000,Pescador,1038943.67
MG,3150109,Piau,912156.41
MG,3150158,Piedade de Caratinga,1052279.27
MG,3150208,Piedade de Ponte Nova,938289.98
MG,3150307,Piedade do Rio Grande,750014.18
MG,3150406,Piedade dos Gerais,
MG,3150505,Pimenta,1057238.79
MG,3150539,Pingo-d'Água,
MG,3150570,Pintópolis,
MG,3150604,Piracema,892581.64
MG,3150703,Pirajuba,1760952.62
MG,3150802,Piranga,1437728.31
MG,3150901,Piranguçu,731546.7
MG,3151008,Piranguinho,939530.54
MG,3151107,Pirapetinga,1661105.72
MG,3151206,Pirapora,8052891.98
MG,3151305,Piraúba,1089382.44
MG,3151404,Pitangui,2488793.44
MG,3151503,Piumhi,2488853.44
MG,3151602,Planura,2327882.28
MG,3151701,Poço Fundo,1681374.72
MG,3151800,Poços de Caldas,13732319.23
MG,3151909,Pocrane,1299281.68
MG,3152006,Pompéu,3722066.19
MG,3152105,Ponte Nova,4995328.6
MG,3152131,Ponto Chique,1126183.43
MG,3152170,Ponto dos Volantes,1490772.92
MG,3152204,Porteirinha,
MG,3152303,Porto Firme,988192.03
MG,3152402,Poté,1522224.95
MG,3152501,Pouso Alegre,15124578.58
MG,3152600,Pouso Alto,1054655.98
MG,3152709,Prados,433375.31
MG,3152808,Prata,4311331.04
MG,3152907,Pratápolis,955838.56
MG,3153004,Pratinha,1087627.3
MG,3153103,Presidente Bernardes,1039760.13
MG,3153202,Presidente Juscelino,1047298.68
MG,3153301,Presidente Kubitschek,879827.36
MG,3153400,Presidente Olegário,2234681.96
MG,3153509,Alto Jequitibá,1292914.07
MG,3153608,Prudente de Morais,
MG,3153707,Quartel Geral,870507.11
MG,3153806,Queluzito,851578.48
MG,3153905,Raposos,1872357.07
MG,3154002,Raul Soares,1886126.76
MG,3154101,Recreio,1186976.34
MG,3154150,Reduto,1118530.78
MG,3154200,Resende Costa,619519.06
MG,3154309,Resplendor,1053613.48
MG,3154408,Ressaquinha,1354648.89
MG,3154457,Riachinho,1269389.4
MG,3154507,Riacho dos Machados,1791170.89
MG,3154606,Ribeirão das Neves,16884568.62
MG,3154705,Ribeirão Vermelho,1287023.7
MG,3154804,Rio Acima,4126452.46
MG,3154903,Rio Casca,1190221.88
MG,3155009,Rio Doce,721299.59
MG,3155108,Rio do Prado,862214.69
MG,3155207,Rio Espera,841334.35
MG,3155306,Rio Manso,1163480.44
MG,3155405,Rio Novo,1104100.98
MG,3155504,Rio Paranaíba,2315657.09
MG,3155603,Rio Pardo de Minas,2710066.12
MG,3155702,Rio Piracicaba,1757597.41
MG,3155801,Rio Pomba,1825839.81
MG,3155900,Rio Preto,1056514.96
MG,3156007,Rio Vermelho,1333731.01
MG,3156106,Ritápolis,595049.92
MG,3156205,Rochedo de Minas,675237.66
MG,3156304,Rodeiro,
MG,3156403,Romaria,1467330.88
MG,3156452,Rosário da Limeira,958874.02
MG,3156502,Rubelita,1126338.95
MG,3156601,Rubim,1203771.22
MG,3156700,Sabará,10505291.89
MG,3156809,Sabinópolis,1469908.62
MG,3156908,Sacramento,3100195.98
MG,3157005,Salinas,3337606.28
MG,3157104,Salto da Divisa,1266309.59
MG,3157203,Santa Bárbara,3101418.43
MG,3157252,Santa Bárbara do Leste,
MG,3157278,Santa Bárbara do Monte Verde,802787.61
MG,3157302,Santa Bárbara do Tugúrio,732769.86
MG,3157336,Santa Cruz de Minas,695184.8
MG,3157377,Santa Cruz de Salinas,997250.46
MG,3157401,Santa Cruz do Escalvado,784151.48
MG,3157500,Santa Efigênia de Minas,1535508.32
MG,3157609,Santa Fé de Minas,1060672.78
MG,3157658,Santa Helena de Minas,946484.86
MG,3157708,Santa Juliana,4098368.72
MG,3157807,Santa Luzia,19199499.28
MG,3157906,Santa Margarida,1888807.79
MG,3158003,Santa Maria de Itabira,1211525.14
MG,3158102,Santa Maria do Salto,829545.23
MG,3158201,Santa Maria do Suaçuí,
MG,3158300,Santana da Vargem,1213870.11
MG,3158409,Santana de Cataguases,1069743.8
MG,3158508,Santana de Pirapama,1227195.01
MG,3158607,Santana do Deserto,968568.49
MG,3158706,Santana do Garambéu,847811.99
MG,3158805,Santana do Jacaré,792987.91
MG,3158904,Santana do Manhuaçu,964068.22
MG,3158953,Santana do Paraíso,4192870.17
MG,3159001,Santana do Riacho,1274207.67
MG,3159100,Santana dos Montes,994663.89
MG,3159209,Santa Rita de Caldas,655713.31
MG,3159308,Santa Rita de Jacutinga,638295.42
MG,3159357,Santa Rita de Minas,1094023.77
MG,3159407,Santa Rita de Ibitipoca,774558.68
MG,3159506,Santa Rita do Itueto,
MG,3159605,Santa Rita do Sapucaí,1912813.89
MG,3159704,Santa Rosa da Serra,
MG,3159803,Santa Vitória,10111357.92
MG,3159902,Santo Antônio do Amparo,
MG,3160009,Santo Antônio do Aventureiro,814414.91
MG,3160108,Santo Antônio do Grama,879732.71
MG,3160207,Santo Antônio do Itambé,1002436.16
MG,3160306,Santo Antônio do Jacinto,1507643.72
MG,3160405,Santo Antônio do Monte,2028040.77
MG,3160454,Santo Antônio do Retiro,1169658.16
MG,3160504,Santo Antônio do Rio Abaixo,806490.83
MG,3160603,Santo Hipólito,975636.44
MG,3160702,Santos Dumont,3987798.95
MG,3160801,São Bento Abade,1003647.62
MG,3160900,São Brás do Suaçuí,1036211.73
MG,3160959,São Domingos das Dores,821876.69
MG,3161007,São Domingos do Prata,
MG,3161056,São Félix de Minas,
MG,3161106,São Francisco,4411126.21
MG,3161205,São Francisco de Paula,1085843.04
MG,3161304,São Francisco de Sales,1301193.07
MG,3161403,São Francisco do Glória,842356.66
MG,3161502,São Geraldo,1104292.17
MG,3161601,São Geraldo da Piedade,
MG,3161650,São Geraldo do Baixio,
MG,3161700,São Gonçalo do Abaeté,1245768.39
MG,3161809,São Gonçalo do Pará,1884228.28
MG,3161908,São Gonçalo do Rio Abaixo,7543858.35
MG,3162005,São Gonçalo do Sapucaí,3363322.6
MG,3162104,São Gotardo,
MG,3162203,São João Batista do Glória,1243314.04
MG,3162252,São João da Lagoa,921318.52
MG,3162302,São João da Mata,581965.93
MG,3162401,São João da Ponte,2477242.34
MG,3162450,São João das Missões,1474622.77
MG,3162500,São João del Rei,5243429.9
MG,3162559,São João do Manhuaçu,1438703.89
MG,3162575,São João do Manteninha,
MG,3162609,São João do Oriente,1168495.62
MG,3162658,São João do Pacuí,991519.06
