UF,COD,MUN,OPERACOES_CREDITO
MG,3103504,Araguari,570039.666013453
MG,3103603,Arantina,
MG,3103702,Araponga,
MG,3103751,Araporã,631.3820811137
MG,3103801,Arapuá,
MG,3103900,Araújos,10966.0386497061
MG,3104007,Araxá,687840.988207193
MG,3104106,Arceburgo,10561.6991394374
MG,3104205,Arcos,231637.426866792
MG,3104304,Areado,54965.5134419848
MG,3104403,Argirita,
MG,3104452,Aricanduva,
MG,3104502,Arinos,60082.933769082
MG,3104601,Astolfo Dutra,16995.8300412847
MG,3104700,Ataléia,2476.060090723
MG,3104809,Augusto de Lima,
MG,3104908,Baependi,65497.3070103094
MG,3105004,Baldim,
MG,3105103,Bambuí,161343.516958003
MG,3105202,Bandeira,
MG,3105301,Bandeira do Sul,
MG,3105400,Barão de Cocais,56894.8730030835
MG,3105509,Barão de Monte Alto,
MG,3105608,Barbacena,607656.730134318
MG,3105707,Barra Longa,
MG,3105905,Barroso,28420.8039168915
MG,3106002,Bela Vista de Minas,3512.0647677603
MG,3106101,Belmiro Braga,
MG,3106200,Belo Horizonte,63620319.0785495
MG,3106309,Belo Oriente,74796.1286657503
MG,3106408,Belo Vale,
MG,3106507,Berilo,24397.2935031643
MG,3106606,Bertópolis,
MG,3106655,Berizal,
MG,3106705,Betim,1201178.72618691
MG,3106804,Bias Fortes,
MG,3106903,Bicas,104754.822748677
MG,3107000,Biquinhas,
MG,3107109,Boa Esperança,281896.721365713
MG,3107208,Bocaina de Minas,
MG,3107307,Bocaiúva,139254.149043076
MG,3107406,Bom Despacho,319317.591814004
MG,3107505,Bom Jardim de Minas,
MG,3107604,Bom Jesus da Penha,39770.360186249
MG,3107703,Bom Jesus do Amparo,
MG,3107802,Bom Jesus do Galho,4542.7975760874
MG,3107901,Bom Repouso,
MG,3108008,Bom Sucesso,93243.0951520887
MG,3108107,Bonfim,26667.9782328019
MG,3108206,Bonfinópolis de Minas,52786.3069447681
MG,3108255,Bonito de Minas,
MG,3108305,Borda da Mata,89542.20437689
MG,3108404,Botelhos,54845.1779741992
MG,3108503,Botumirim,
MG,3108552,Brasilândia de Minas,36251.9493994189
MG,3108602,Brasília de Minas,78301.7769711789
MG,3108701,Brás Pires,
MG,3108800,Braúnas,
MG,3108909,Brasópolis,15759.5315438044
MG,3109006,Brumadinho,104989.941355097
MG,3109105,Bueno Brandão,24329.0996127756
MG,3109204,Buenópolis,30673.7290688924
MG,3109253,Bugre,
MG,3109303,Buritis,199072.081824021
MG,3109402,Buritizeiro,18342.5625716672
MG,3109451,Cabeceira Grande,
MG,3109501,Cabo Verde,34694.5105719095
MG,3109600,Cachoeira da Prata,2223.9432189367
MG,3109709,Cachoeira de Minas,16902.047745404
MG,3109808,Cachoeira Dourada,
MG,3109907,Caetanópolis,
MG,3110004,Caeté,104849.991157934
MG,3110103,Caiana,
MG,3110202,Cajuri,
MG,3110301,Caldas,58112.7639324251
MG,3110400,Camacho,
MG,3110509,Camanducaia,70379.3116441858
MG,3110608,Cambuí,143215.066899573
MG,3110707,Cambuquira,25918.6334404812
MG,3110806,Campanário,1789.2177232601
MG,3110905,Campanha,72661.0082745368
MG,3111002,Campestre,120164.960526475
MG,3111101,Campina Verde,159207.616878016
MG,3111150,Campo Azul,
MG,3111200,Campo Belo,296380.045460202
MG,3111309,Campo do Meio,
MG,3111408,Campo Florido,4897.8263655078
MG,3111507,Campos Altos,109239.527385578
MG,3111606,Campos Gerais,146044.757852874
MG,3111705,Canaã,
MG,3111804,Canápolis,50961.2502275736
MG,3111903,Cana Verde,
MG,3112000,Candeias,38921.5372571587
MG,3112059,Cantagalo,
MG,3112109,Caparaó,
MG,3112208,Capela Nova,
MG,3112307,Capelinha,194532.01359618
MG,3112406,Capetinga,
MG,3112505,Capim Branco,
MG,3112604,Capinópolis,170553.990512051
MG,3112653,Capitão Andrade,
MG,3112703,Capitão Enéas,
MG,3112802,Capitólio,
MG,3112901,Caputira,
MG,3113008,Caraí,
MG,3113107,Caranaíba,
MG,3113206,Carandaí,124008.150190947
MG,3113305,Carangola,153059.420426548
MG,3113404,Caratinga,340313.707869386
MG,3113503,Carbonita,103.9847553864
MG,3113602,Careaçu,
MG,3113701,Carlos Chagas,58531.0949621238
MG,3113800,Carmésia,
MG,3113909,Carmo da Cachoeira,5729.3080011747
MG,3114006,Carmo da Mata,26457.4482625975
MG,3114105,Carmo de Minas,
MG,3114204,Carmo do Cajuru,35327.8077471675
MG,3114303,Carmo do Paranaíba,292604.783226823
MG,3114402,Carmo do Rio Claro,139846.181343092
MG,3114501,Carmópolis de Minas,48557.8184524511
MG,3114550,Carneirinho,7945.3318223478
MG,3114600,Carrancas,
MG,3114709,Carvalhópolis,
MG,3114808,Carvalhos,
MG,3114907,Casa Grande,
MG,3115003,Cascalho Rico,
MG,3115102,Cássia,128258.06743602
MG,3115201,Conceição da Barra de Minas,
MG,3115300,Cataguases,245871.853040288
MG,3115359,Catas Altas,
MG,3115409,Catas Altas da Noruega,
MG,3115458,Catuji,
MG,3115474,Catuti,
MG,3115508,Caxambu,122529.233723639
MG,3115607,Cedro do Abaeté,
MG,3115706,Central de Minas,
MG,3115805,Centralina,37787.5796931091
MG,3115904,Chácara,
MG,3116001,Chalé,
MG,3116100,Chapada do Norte,4042.8984995669
MG,3116159,Chapada Gaúcha,
MG,3116209,Chiador,
MG,3116308,Cipotânea,
MG,3116407,Claraval,
MG,3116506,Claro dos Poções,
MG,3116605,Cláudio,67951.9151588805
MG,3116704,Coimbra,14125.1319213213
MG,3116803,Coluna,5394.0282646192
MG,3116902,Comendador Gomes,
MG,3117009,Comercinho,
MG,3117108,Conceição da Aparecida,60213.9092321612
MG,3117207,Conceição das Pedras,
MG,3117306,Conceição das Alagoas,121140.88672692
MG,3117405,Conceição de Ipanema,
MG,3117504,Conceição do Mato Dentro,73828.5760252166
MG,3117603,Conceição do Pará,1459.1652267644
MG,3117702,Conceição do Rio Verde,81786.8820962873
MG,3117801,Conceição dos Ouros,1825.7729632795
MG,3117836,Cônego Marinho,
MG,3117876,Confins,
MG,3117900,Congonhal,6491.146627923
MG,3118007,Congonhas,224451.267765636
MG,3118106,Congonhas do Norte,
MG,3118205,Conquista,45777.0216859285
MG,3118304,Conselheiro Lafaiete,434182.504137917
MG,3118403,Conselheiro Pena,109414.330808546
MG,3118502,Consolação,
MG,3118601,Contagem,2116771.83396393
MG,3118700,Coqueiral,44079.9485620946
MG,3118809,Coração de Jesus,35974.2108694206
MG,3118908,Cordisburgo,
MG,3119005,Cordislândia,
MG,3119104,Corinto,73409.8297740551
MG,3119203,Coroaci,26590.0268568041
MG,3119302,Coromandel,317946.794377743
MG,3119401,Coronel Fabriciano,312716.970231626
MG,3119500,Coronel Murta,
MG,3119609,Coronel Pacheco,
MG,3119708,Coronel Xavier Chaves,
MG,3119807,Córrego Danta,
MG,3119906,Córrego do Bom Jesus,
MG,3119955,Córrego Fundo,
MG,3120003,Córrego Novo,
MG,3120102,Couto de Magalhães de Minas,
MG,3120151,Crisólita,
MG,3120201,Cristais,25934.8563924302
MG,3120300,Cristália,
MG,3120409,Cristiano Otoni,
MG,3120508,Cristina,11161.6206472477
MG,3120607,Crucilândia,
MG,3120706,Cruzeiro da Fortaleza,1888.7483643241
MG,3120805,Cruzília,81462.9144099959
MG,3120839,Cuparaque,
MG,3120870,Curral de Dentro,
MG,3120904,Curvelo,314086.115095215
MG,3121001,Datas,1938.4887453163
MG,3121100,Delfim Moreira,2020.5634585806
MG,3121209,Delfinópolis,
MG,3121258,Delta,
MG,3121308,Descoberto,
MG,3121407,Desterro de Entre Rios,3083.7176688017
MG,3121506,Desterro do Melo,
MG,3121605,Diamantina,200714.452035955
MG,3121704,Diogo de Vasconcelos,
MG,3121803,Dionísio,
MG,3121902,Divinésia,
MG,3122009,Divino,77351.5231830971
MG,3122108,Divino das Laranjeiras,
MG,3122207,Divinolândia de Minas,
MG,3122306,Divinópolis,1369004.45091668
MG,3122355,Divisa Alegre,
MG,3122405,Divisa Nova,
MG,3122454,Divisópolis,5881.3061837978
MG,3122470,Dom Bosco,
MG,3122504,Dom Cavati,2962.581510524
MG,3122603,Dom Joaquim,
MG,3122702,Dom Silvério,14364.1752237609
MG,3122801,Dom Viçoso,
MG,3122900,Dona Eusébia,1614.2541621942
MG,3123007,Dores de Campos,
MG,3123106,Dores de Guanhães,
MG,3123205,Dores do Indaiá,76241.396443279
MG,3123304,Dores do Turvo,
MG,3123403,Doresópolis,
MG,3123502,Douradoquara,
MG,3123528,Durandé,
MG,3123601,Elói Mendes,86805.0784949078
MG,3123700,Engenheiro Caldas,1018.2376612922
MG,3123809,Engenheiro Navarro,
MG,3123858,Entre Folhas,1996.1012702069
MG,3123908,Entre Rios de Minas,28098.6878820551
MG,3124005,Ervália,64671.4402714105
MG,3124104,Esmeraldas,88858.1434244316
MG,3124203,Espera Feliz,77759.7261343741
MG,3124302,Espinosa,51699.2641555914
MG,3124401,Espírito Santo do Dourado,
MG,3124500,Estiva,17902.3245625969
MG,3124609,Estrela Dalva,
MG,3124708,Estrela do Indaiá,
MG,3124807,Estrela do Sul,28013.1623240305
MG,3124906,Eugenópolis,6570.3388554157
MG,3125002,Ewbank da Câmara,
MG,3125101,Extrema,143590.017568495
MG,3125200,Fama,
MG,3125309,Faria Lemos,
MG,3125408,Felício dos Santos,
MG,3125507,São Gonçalo do Rio Preto,
MG,3125606,Felisburgo,4072.9856480317
MG,3125705,Felixlândia,
MG,3125804,Fernandes Tourinho,
MG,3125903,Ferros,
MG,3125952,Fervedouro,
MG,3126000,Florestal,
MG,3126109,Formiga,354238.371831021
MG,3126208,Formoso,
MG,3126307,Fortaleza de Minas,2486.5333848814
MG,3126406,Fortuna de Minas,
MG,3126505,Francisco Badaró,
MG,3126604,Francisco Dumont,
MG,3126703,Francisco Sá,60722.4798304648
MG,3126752,Franciscópolis,
MG,3126802,Frei Gaspar,
MG,3126901,Frei Inocêncio,
MG,3126950,Frei Lagonegro,
MG,3127008,Fronteira,23303.0401242006
MG,3127057,Fronteira dos Vales,
MG,3127073,Fruta de Leite,
MG,3127107,Frutal,781078.062429302
MG,3127206,Funilândia,
MG,3127305,Galiléia,
MG,3127339,Gameleiras,
MG,3127354,Glaucilândia,
MG,3127370,Goiabeira,
MG,3127388,Goianá,
MG,3127404,Gonçalves,
MG,3127503,Gonzaga,
MG,3127602,Gouveia,4374.6158197362
MG,3127701,Governador Valadares,1446809.61995554
MG,3127800,Grão Mogol,13181.7010663183
MG,3127909,Grupiara,
MG,3128006,Guanhães,278218.617454355
MG,3128105,Guapé,4292.2085792729
MG,3128204,Guaraciaba,4808.1569060346
MG,3128253,Guaraciama,
MG,3128303,Guaranésia,67810.5027171133
MG,3128402,Guarani,24181.652239884
MG,3128501,Guarará,
MG,3128600,Guarda-Mor,1518.8359200019
MG,3128709,Guaxupé,319140.750786871
MG,3128808,Guidoval,
MG,3128907,Guimarânia,94821.5453232115
MG,3129004,Guiricema,
MG,3129103,Gurinhatã,1659.3317242931
MG,3129202,Heliodora,32164.2301712606
MG,3129301,Iapu,34807.7995258286
MG,3129400,Ibertioga,
MG,3129509,Ibiá,265747.214174025
MG,3129608,Ibiaí,
MG,3129657,Ibiracatu,
MG,3129707,Ibiraci,71738.8057808981
MG,3129806,Ibirité,217979.389338747
MG,3129905,Ibitiúra de Minas,
MG,3130002,Ibituruna,
MG,3130051,Icaraí de Minas,
MG,3130101,Igarapé,139320.681610077
MG,3130200,Igaratinga,1123.7004125705
MG,3130309,Iguatama,369.512536612
MG,3130408,Ijaci,
MG,3130507,Ilicínea,
MG,3130556,Imbé de Minas,
MG,3130606,Inconfidentes,
MG,3130655,Indaiabira,
MG,3130705,Indianópolis,28395.7497425965
MG,3130804,Ingaí,
MG,3130903,Inhapim,155784.295744001
MG,3131000,Inhaúma,
MG,3131109,Inimutaba,
MG,3131158,Ipaba,
MG,3131208,Ipanema,66049.448297458
MG,3131307,Ipatinga,1155404.66311798
MG,3131406,Ipiaçu,
MG,3131505,Ipuiúna,37518.4448668468
MG,3131604,Iraí de Minas,46072.6186766516
MG,3131703,Itabira,343109.90983347
MG,3131802,Itabirinha de Mantena,35046.4993626746
MG,3131901,Itabirito,159436.669925807
MG,3132008,Itacambira,
MG,3132107,Itacarambi,33936.2956165578
MG,3132206,Itaguara,24416.8110995973
MG,3132305,Itaipé,3209.6129038459
MG,3132404,Itajubá,373475.461445126
MG,3132503,Itamarandiba,85004.6672935823
MG,3132602,Itamarati de Minas,
MG,3132701,Itambacuri,60766.7326376033
MG,3132800,Itambé do Mato Dentro,
MG,3132909,Itamogi,5843.5547209338
MG,3133006,Itamonte,57361.1299528613
MG,3133105,Itanhandu,126008.978160272
MG,3133204,Itanhomi,21350.7869405283
MG,3133303,Itaobim,37852.6246384312
MG,3133402,Itapagipe,45837.5390109159
MG,3133501,Itapecerica,111905.504697995
MG,3133600,Itapeva,325.3323604143
MG,3133709,Itatiaiuçu,22079.9272052288
MG,3133758,Itaú de Minas,44149.0914676075
MG,3133808,Itaúna,373933.379837855
MG,3133907,Itaverava,
MG,3134004,Itinga,
MG,3134103,Itueta,
MG,3134202,Ituiutaba,718977.020214946
MG,3134301,Itumirim,
MG,3134400,Iturama,432439.961857454
MG,3134509,Itutinga,
MG,3134608,Jaboticatubas,15620.2674027565
MG,3134707,Jacinto,32837.2442201425
MG,3134806,Jacuí,37370.0502289741
MG,3134905,Jacutinga,79898.0996041717
MG,3135001,Jaguaraçu,
MG,3135050,Jaíba,85685.9730831833
MG,3135076,Jampruca,
MG,3135100,Janaúba,321971.641900838
MG,3135209,Januária,178781.374967267
MG,3135308,Japaraíba,
MG,3135357,Japonvar,
MG,3135407,Jeceaba,
MG,3135456,Jenipapo de Minas,
MG,3135506,Jequeri,18422.7366294682
MG,3135605,Jequitaí,3532.7217073854
MG,3135704,Jequitibá,
MG,3135803,Jequitinhonha,59094.9832101097
MG,3135902,Jesuânia,
MG,3136009,Joaíma,28048.5318420643
MG,3136108,Joanésia,
MG,3136207,João Monlevade,301085.259383561
MG,3136306,João Pinheiro,289208.068644079
MG,3136405,Joaquim Felício,
MG,3136504,Jordânia,
MG,3136520,José Gonçalves de Minas,
MG,3136553,José Raydan,
MG,3136579,Josenópolis,
MG,3136603,Nova União,1976.271710757
MG,3136652,Juatuba,67807.1739448379
MG,3136702,Juiz de Fora,3506587.11765583
MG,3136801,Juramento,
MG,3136900,Juruaia,
MG,3136959,Juvenília,
MG,3137007,Ladainha,19021.6049886367
MG,3137106,Lagamar,25427.3875092409
MG,3137205,Lagoa da Prata,195551.637370848
MG,3137304,Lagoa dos Patos,
MG,3137403,Lagoa Dourada,117591.096748443
MG,3137502,Lagoa Formosa,218192.876613343
MG,3137536,Lagoa Grande,
MG,3137601,Lagoa Santa,244110.443341573
MG,3137700,Lajinha,47882.3603286572
MG,3137809,Lambari,94748.1736343072
MG,3137908,Lamim,
MG,3138005,Laranjal,2039.5503241027
MG,3138104,Lassance,
MG,3138203,Lavras,473270.480883919
MG,3138302,Leandro Ferreira,
MG,3138351,Leme do Prado,
MG,3138401,Leopoldina,181545.41805093
MG,3138500,Liberdade,11676.7232173311
MG,3138609,Lima Duarte,41553.343899601
MG,3138625,Limeira do Oeste,2464.0252313371
MG,3138658,Lontra,
MG,3138674,Luisburgo,
MG,3138682,Luislândia,
MG,3138708,Luminárias,
MG,3138807,Luz,67016.3201323055
MG,3138906,Machacalis,4405.6594214336
MG,3139003,Machado,250880.214071929
MG,3139102,Madre de Deus de Minas,
MG,3139201,Malacacheta,39107.2908882936
MG,3139250,Mamonas,
MG,3139300,Manga,63396.9956537854
MG,3139409,Manhuaçu,362435.76495811
MG,3139508,Manhumirim,138144.102372307
MG,3139607,Mantena,136447.197699751
MG,3139706,Maravilhas,1172.6729182547
MG,3139805,Mar de Espanha,9502.40574501
MG,3139904,Maria da Fé,28945.6359702935
MG,3140001,Mariana,221463.448753322
MG,3140100,Marilac,
MG,3140159,Mário Campos,
MG,3140209,Maripá de Minas,
MG,3140308,Marliéria,
MG,3140407,Marmelópolis,
MG,3140506,Martinho Campos,74262.2444344294
MG,3140530,Martins Soares,
MG,3140555,Mata Verde,6718.8761299553
MG,3140605,Materlândia,
MG,3140704,Mateus Leme,113245.44536034
MG,3140803,Matias Barbosa,29859.2973278139
MG,3140852,Matias Cardoso,
MG,3140902,Matipó,33877.6028158065
MG,3141009,Mato Verde,25987.7750333867
MG,3141108,Matozinhos,114362.54117019
MG,3141207,Matutina,
MG,3141306,Medeiros,
MG,3141405,Medina,71598.8879613829
MG,3141504,Mendes Pimentel,4244.7556353807
MG,3141603,Mercês,21377.2456047029
MG,3141702,Mesquita,
MG,3141801,Minas Novas,34011.4830789825
MG,3141900,Minduri,
MG,3142007,Mirabela,
MG,3142106,Miradouro,20074.9492089541
MG,3142205,Miraí,14958.9394972375
MG,3142254,Miravânia,
MG,3142304,Moeda,10331.9630982811
MG,3142403,Moema,2001.5639045206
MG,3142502,Monjolos,
MG,3142601,Monsenhor Paulo,27588.148810241
MG,3142700,Montalvânia,4242.9801151528
MG,3142809,Monte Alegre de Minas,118047.498642131
MG,3142908,Monte Azul,41104.7848349138
MG,3143005,Monte Belo,19500.3067688338
MG,3143104,Monte Carmelo,271253.317668288
MG,3143153,Monte Formoso,
MG,3143203,Monte Santo de Minas,127815.623809042
MG,3143302,Montes Claros,1943149.93745138
MG,3143401,Monte Sião,92948.764827472
MG,3143450,Montezuma,
MG,3143500,Morada Nova de Minas,21618.4271445386
MG,3143609,Morro da Garça,
MG,3143708,Morro do Pilar,
MG,3143807,Munhoz,400.214422859
MG,3143906,Muriaé,439909.037287124
MG,3144003,Mutum,76450.1942092985
MG,3144102,Muzambinho,149544.98902771
MG,3144201,Nacip Raydan,
MG,3144300,Nanuque,187881.13534058
MG,3144359,Naque,
MG,3144375,Natalândia,
MG,3144409,Natércia,1288.7682267183
MG,3144508,Nazareno,4054.8007856091
MG,3144607,Nepomuceno,111614.710537617
MG,3144656,Ninheira,
MG,3144672,Nova Belém,
MG,3144706,Nova Era,76728.6949266396
MG,3144805,Nova Lima,330439.085616594
MG,3144904,Nova Módica,
MG,3145000,Nova Ponte,85781.5772780855
MG,3145059,Nova Porteirinha,
MG,3145109,Nova Resende,53625.657661583
MG,3145208,Nova Serrana,420071.96884802
MG,3145307,Novo Cruzeiro,28235.9923003083
MG,3145356,Novo Oriente de Minas,
MG,3145372,Novorizonte,
MG,3145406,Olaria,
MG,3145455,Olhos-d'Água,
MG,3145505,Olímpio Noronha,
MG,3145604,Oliveira,235242.916463695
MG,3145703,Oliveira Fortes,
MG,3145802,Onça de Pitangui,
MG,3145851,Oratórios,
MG,3145877,Orizânia,
MG,3145901,Ouro Branco,150467.989149091
MG,3146008,Ouro Fino,147189.367663219
MG,3146107,Ouro Preto,260301.410549464
MG,3146206,Ouro Verde de Minas,
MG,3146255,Padre Carvalho,
MG,3146305,Padre Paraíso,33038.4870557098
MG,3146404,Paineiras,
MG,3146503,Pains,
MG,3146552,Pai Pedro,
MG,3146602,Paiva,
MG,3146701,Palma,3070.9831896907
MG,3146750,Palmópolis,4334.9090094354
MG,3146909,Papagaios,23604.7210500565
MG,3147006,Paracatu,491361.932041041
MG,3147105,Pará de Minas,512935.315751272
MG,3147204,Paraguaçu,74152.4010748411
MG,3147303,Paraisópolis,88963.0855081222
MG,3147402,Paraopeba,77964.6600218494
MG,3147501,Passabém,
MG,3147600,Passa Quatro,43941.6378115288
MG,3147709,Passa Tempo,21497.9232254747
MG,3147808,Passa-Vinte,
MG,3147907,Passos,782139.896594051
MG,3147956,Patis,
MG,3148004,Patos de Minas,2007771.41069826
MG,3148103,Patrocínio,687682.220908393
MG,3148202,Patrocínio do Muriaé,
MG,3148301,Paula Cândido,2870.0536297476
MG,3148400,Paulistas,
MG,3148509,Pavão,10040.6950866449
MG,3148608,Peçanha,29725.458193002
MG,3148707,Pedra Azul,50257.4196580683
MG,3148756,Pedra Bonita,
MG,3148806,Pedra do Anta,
MG,3148905,Pedra do Indaiá,
MG,3149002,Pedra Dourada,
MG,3149101,Pedralva,17608.4295860893
MG,3149150,Pedras de Maria da Cruz,
MG,3149200,Pedrinópolis,
MG,3149309,Pedro Leopoldo,166505.247846963
MG,3149408,Pedro Teixeira,
MG,3149507,Pequeri,
MG,3149606,Pequi,
MG,3149705,Perdigão,4283.5786233896
MG,3149804,Perdizes,153310.423332218
MG,3149903,Perdões,93675.2278106855
MG,3149952,Periquito,
MG,3150000,Pescador,
MG,3150109,Piau,
MG,3150158,Piedade de Caratinga,
MG,3150208,Piedade de Ponte Nova,
MG,3150307,Piedade do Rio Grande,
MG,3150406,Piedade dos Gerais,
MG,3150505,Pimenta,
MG,3150539,Pingo-d'Água,
MG,3150570,Pintópolis,
MG,3150604,Piracema,56171.5620276872
MG,3150703,Pirajuba,3104.5456849199
MG,3150802,Piranga,21016.2575778493
MG,3150901,Piranguçu,
MG,3151008,Piranguinho,
MG,3151107,Pirapetinga,33360.6835971312
MG,3151206,Pirapora,299429.333437842
MG,3151305,Piraúba,562.3507472268
MG,3151404,Pitangui,84388.0117920225
MG,3151503,Piumhi,282538.211398602
MG,3151602,Planura,25173.3577309892
MG,3151701,Poço Fundo,40788.3795171829
MG,3151800,Poços de Caldas,824679.185388572
MG,3151909,Pocrane,3414.976451465
MG,3152006,Pompéu,149427.428849428
MG,3152105,Ponte Nova,350483.840043279
MG,3152131,Ponto Chique,
MG,3152170,Ponto dos Volantes,
MG,3152204,Porteirinha,61664.8072202104
MG,3152303,Porto Firme,
MG,3152402,Poté,15349.5613854794
MG,3152501,Pouso Alegre,940963.4821854
MG,3152600,Pouso Alto,1332.5226805942
MG,3152709,Prados,
MG,3152808,Prata,165273.97532308
MG,3152907,Pratápolis,25491.7048325474
MG,3153004,Pratinha,
MG,3153103,Presidente Bernardes,
MG,3153202,Presidente Juscelino,
MG,3153301,Presidente Kubitschek,
MG,3153400,Presidente Olegário,117842.993977264
MG,3153509,Alto Jequitibá,4988.2273848185
MG,3153608,Prudente de Morais,
MG,3153707,Quartel Geral,
MG,3153806,Queluzito,
MG,3153905,Raposos,
MG,3154002,Raul Soares,110902.802619929
MG,3154101,Recreio,
MG,3154150,Reduto,
MG,3154200,Resende Costa,29527.7016425938
MG,3154309,Resplendor,37687.675396482
MG,3154408,Ressaquinha,
MG,3154457,Riachinho,45021.8270401216
MG,3154507,Riacho dos Machados,
MG,3154606,Ribeirão das Neves,252585.697071145
MG,3154705,Ribeirão Vermelho,1727.9106461752
MG,3154804,Rio Acima,1418.7500460228
MG,3154903,Rio Casca,57990.1125877134
MG,3155009,Rio Doce,
MG,3155108,Rio do Prado,2714.3871470776
MG,3155207,Rio Espera,
MG,3155306,Rio Manso,
MG,3155405,Rio Novo,
MG,3155504,Rio Paranaíba,194064.485604937
MG,3155603,Rio Pardo de Minas,32454.4380336824
MG,3155702,Rio Piracicaba,15579.2689868095
MG,3155801,Rio Pomba,106039.233118946
MG,3155900,Rio Preto,12913.9352895368
MG,3156007,Rio Vermelho,3578.7898505084
MG,3156106,Ritápolis,
MG,3156205,Rochedo de Minas,
MG,3156304,Rodeiro,
MG,3156403,Romaria,
MG,3156452,Rosário da Limeira,
MG,3156502,Rubelita,
MG,3156601,Rubim,30116.1732763668
MG,3156700,Sabará,208131.513648678
MG,3156809,Sabinópolis,32659.0818349302
MG,3156908,Sacramento,150197.241128378
MG,3157005,Salinas,149578.966306867
MG,3157104,Salto da Divisa,17082.7163356101
MG,3157203,Santa Bárbara,89776.7423733201
MG,3157252,Santa Bárbara do Leste,
MG,3157278,Santa Bárbara do Monte Verde,
MG,3157302,Santa Bárbara do Tugúrio,
MG,3157336,Santa Cruz de Minas,
MG,3157377,Santa Cruz de Salinas,
MG,3157401,Santa Cruz do Escalvado,
MG,3157500,Santa Efigênia de Minas,
MG,3157609,Santa Fé de Minas,
MG,3157658,Santa Helena de Minas,
MG,3157708,Santa Juliana,134049.24956066
MG,3157807,Santa Luzia,308344.967375616
MG,3157906,Santa Margarida,45693.737623746
MG,3158003,Santa Maria de Itabira,11526.8943371451
MG,3158102,Santa Maria do Salto,
MG,3158201,Santa Maria do Suaçuí,35895.2251588199
MG,3158300,Santana da Vargem,20987.820814377
MG,3158409,Santana de Cataguases,
MG,3158508,Santana de Pirapama,2115.997889597
MG,3158607,Santana do Deserto,
MG,3158706,Santana do Garambéu,
MG,3158805,Santana do Jacaré,18474.4682358317
MG,3158904,Santana do Manhuaçu,
MG,3158953,Santana do Paraíso,2751.8078328857
MG,3159001,Santana do Riacho,
MG,3159100,Santana dos Montes,
MG,3159209,Santa Rita de Caldas,26720.6435405371
MG,3159308,Santa Rita de Jacutinga,
MG,3159357,Santa Rita de Minas,
MG,3159407,Santa Rita de Ibitipoca,
MG,3159506,Santa Rita do Itueto,
MG,3159605,Santa Rita do Sapucaí,181708.425071516
MG,3159704,Santa Rosa da Serra,
MG,3159803,Santa Vitória,207155.339365441
MG,3159902,Santo Antônio do Amparo,43994.2720542231
MG,3160009,Santo Antônio do Aventureiro,
MG,3160108,Santo Antônio do Grama,
MG,3160207,Santo Antônio do Itambé,
MG,3160306,Santo Antônio do Jacinto,20415.0168996381
MG,3160405,Santo Antônio do Monte,117078.156480224
MG,3160454,Santo Antônio do Retiro,
MG,3160504,Santo Antônio do Rio Abaixo,
MG,3160603,Santo Hipólito,
MG,3160702,Santos Dumont,145265.986153592
MG,3160801,São Bento Abade,
MG,3160900,São Brás do Suaçuí,
MG,3160959,São Domingos das Dores,
MG,3161007,São Domingos do Prata,22701.9477706215
MG,3161056,São Félix de Minas,
MG,3161106,São Francisco,182086.559688367
MG,3161205,São Francisco de Paula,
MG,3161304,São Francisco de Sales,
MG,3161403,São Francisco do Glória,
MG,3161502,São Geraldo,254.3806819536
MG,3161601,São Geraldo da Piedade,
MG,3161650,São Geraldo do Baixio,
MG,3161700,São Gonçalo do Abaeté,63894.6987381856
MG,3161809,São Gonçalo do Pará,2976.4697715081
MG,3161908,São Gonçalo do Rio Abaixo,69207.442041638
MG,3162005,São Gonçalo do Sapucaí,86261.4433410146
MG,3162104,São Gotardo,751334.042218028
MG,3162203,São João Batista do Glória,
MG,3162252,São João da Lagoa,
MG,3162302,São João da Mata,
MG,3162401,São João da Ponte,44166.1881785253
MG,3162450,São João das Missões,
MG,3162500,São João del Rei,410893.635360355
MG,3162559,São João do Manhuaçu,
MG,3162575,São João do Manteninha,2286.6858509421
MG,3162609,São João do Oriente,
MG,3162658,São João do Pacuí,
MG,3162708,São João do Paraíso,526.7445223316
MG,3162807,São João Evangelista,26914.8083596613
MG,3162906,São João Nepomuceno,96022.1128980971
MG,3162922,São Joaquim de Bicas,
MG,3162948,São José da Barra,21749.3741677915
MG,3162955,São José da Lapa,39047.9759116517
MG,3163003,São José da Safira,
MG,3163102,São José da Varginha,
MG,3163201,São José do Alegre,
MG,3163300,São José do Divino,3237.8295868168
MG,3163409,São José do Goiabal,2049.0649773495
MG,3163508,São José do Jacuri,3162.9260851185
MG,3163607,São José do Mantimento,
MG,3163706,São Lourenço,240869.452996223
MG,3163805,São Miguel do Anta,
MG,3163904,São Pedro da União,
MG,3164001,São Pedro dos Ferros,
MG,3164100,São Pedro do Suaçuí,2070.1458891532
MG,3164209,São Romão,
MG,3164308,São Roque de Minas,
MG,3164407,São Sebastião da Bela Vista,
MG,3164431,São Sebastião da Vargem Alegre,
MG,3164472,São Sebastião do Anta,
MG,3164506,São Sebastião do Maranhão,8398.498576419
MG,3164605,São Sebastião do Oeste,
MG,3164704,São Sebastião do Paraíso,319286.865425752
MG,3164803,São Sebastião do Rio Preto,
MG,3164902,São Sebastião do Rio Verde,
