UF,COD,MUNICIPIO,RECEITA_IPTU
MG,3107307,Bocaiúva,1009047.05
MG,3107406,Bom Despacho,12273761.53
MG,3107505,Bom Jardim de Minas,157180.26
MG,3107604,Bom Jesus da Penha,171842.14
MG,3107703,Bom Jesus do Amparo,90687.36
MG,3107802,Bom Jesus do Galho,140759.64
MG,3107901,Bom Repouso,540833.42
MG,3108008,Bom Sucesso,2604878.81
MG,3108107,Bonfim,484670.19
MG,3108206,Bonfinópolis de Minas,141139.25
MG,3108255,Bonito de Minas,19344.64
MG,3108305,Borda da Mata,2462622.06
MG,3108404,Botelhos,1278589.12
MG,3108503,Botumirim,1877.92
MG,3108552,Brasilândia de Minas,271086.58
MG,3108602,Brasília de Minas,373335.41
MG,3108701,Brás Pires,118022.68
MG,3108800,Braúnas,25067.86
MG,3108909,Brasópolis,674346.77
MG,3109006,Brumadinho,6465562.33
MG,3109105,Bueno Brandão,492267.06
MG,3109204,Buenópolis,254099.9
MG,3109253,Bugre,57301.96
MG,3109303,Buritis,882330.66
MG,3109402,Buritizeiro,2053217.03
MG,3109451,Cabeceira Grande,344237.9
MG,3109501,Cabo Verde,513426.76
MG,3109600,Cachoeira da Prata,136688.15
MG,3109709,Cachoeira de Minas,845236.71
MG,3109808,Cachoeira Dourada,95823.45
MG,3109907,Caetanópolis,711853.27
MG,3110004,Caeté,3049914.27
MG,3110103,Caiana,44055.04
MG,3110202,Cajuri,35769.11
MG,3110301,Caldas,1602436.7
MG,3110400,Camacho,27390.39
MG,3110509,Camanducaia,5581241.15
MG,3110608,Cambuí,4259996.94
MG,3110707,Cambuquira,517194.13
MG,3110806,Campanário,21818.51
MG,3110905,Campanha,2581926.11
MG,3111002,Campestre,1149046.92
MG,3111101,Campina Verde,1847604.21
MG,3111150,Campo Azul,3489.86
MG,3111200,Campo Belo,6281515.1
MG,3111309,Campo do Meio,434320.7
MG,3111408,Campo Florido,878397.69
MG,3111507,Campos Altos,652295.97
MG,3111606,Campos Gerais,
MG,3111705,Canaã,47440.66
MG,3111804,Canápolis,365858.87
MG,3111903,Cana Verde,47667.32
MG,3112000,Candeias,677976.4
MG,3112059,Cantagalo,33794.17
MG,3112109,Caparaó,109332.04
MG,3112208,Capela Nova,31568.43
MG,3112307,Capelinha,2285763.59
MG,3112406,Capetinga,345083.1
MG,3112505,Capim Branco,655569.18
MG,3112604,Capinópolis,2391036.59
MG,3112653,Capitão Andrade,295734.14
MG,3112703,Capitão Enéas,58942.54
MG,3112802,Capitólio,9233290.14
MG,3112901,Caputira,73017.92
MG,3113008,Caraí,102167.19
MG,3113107,Caranaíba,18269.09
MG,3113206,Carandaí,2028836.18
MG,3113305,Carangola,3010742.24
MG,3113404,Caratinga,16488168.74
MG,3113503,Carbonita,400
MG,3113602,Careaçu,373626.64
MG,3113701,Carlos Chagas,773443.73
MG,3113800,Carmésia,30815.27
MG,3113909,Carmo da Cachoeira,501619.87
MG,3114006,Carmo da Mata,423521.74
MG,3114105,Carmo de Minas,879808.27
MG,3114204,Carmo do Cajuru,3605395.68
MG,3114303,Carmo do Paranaíba,2258425.45
MG,3114402,Carmo do Rio Claro,1355243.57
MG,3114501,Carmópolis de Minas,1586955.56
MG,3114550,Carneirinho,789833.61
MG,3114600,Carrancas,164918.49
MG,3114709,Carvalhópolis,374671.07
MG,3114808,Carvalhos,111297.74
MG,3114907,Casa Grande,80564.17
MG,3115003,Cascalho Rico,118000
MG,3115102,Cássia,2364533.58
MG,3115201,Conceição da Barra de Minas,154154.66
MG,3115300,Cataguases,4385242.29
MG,3115359,Catas Altas,274201.13
MG,3115409,Catas Altas da Noruega,171575.09
MG,3115458,Catuji,65187.63
MG,3115474,Catuti,1452.61
MG,3115508,Caxambu,4524888.49
MG,3115607,Cedro do Abaeté,
MG,3115706,Central de Minas,141140.62
MG,3115805,Centralina,61149.3
MG,3115904,Chácara,210801.25
MG,3116001,Chalé,24054.26
MG,3116100,Chapada do Norte,15336.56
MG,3116159,Chapada Gaúcha,200024.6
MG,3116209,Chiador,148371.82
MG,3116308,Cipotânea,49546.52
MG,3116407,Claraval,245905.28
MG,3116506,Claro dos Poções,94393.41
MG,3116605,Cláudio,4160828.67
MG,3116704,Coimbra,336396.56
MG,3116803,Coluna,68133.12
MG,3116902,Comendador Gomes,104550.07
MG,3117009,Comercinho,73847.72
MG,3117108,Conceição da Aparecida,311195.4
MG,3117207,Conceição das Pedras,58667.21
MG,3117306,Conceição das Alagoas,4752444.06
MG,3117405,Conceição de Ipanema,300
MG,3117504,Conceição do Mato Dentro,168053.12
MG,3117603,Conceição do Pará,258474.7
MG,3117702,Conceição do Rio Verde,991045.24
MG,3117801,Conceição dos Ouros,798095.04
MG,3117836,Cônego Marinho,7371.1
MG,3117876,Confins,572503.59
MG,3117900,Congonhal,1133040.66
MG,3118007,Congonhas,12774854.52
MG,3118106,Congonhas do Norte,121059.51
MG,3118205,Conquista,1067396.52
MG,3118304,Conselheiro Lafaiete,13239571.46
MG,3118403,Conselheiro Pena,1844501.55
MG,3118502,Consolação,18794.5
MG,3118601,Contagem,379768102.1
MG,3118700,Coqueiral,518989.76
MG,3118809,Coração de Jesus,193337.3
MG,3118908,Cordisburgo,256397.76
MG,3119005,Cordislândia,289502.08
MG,3119104,Corinto,996158.29
MG,3119203,Coroaci,165377.39
MG,3119302,Coromandel,3789391.63
MG,3119401,Coronel Fabriciano,11833210.91
MG,3119500,Coronel Murta,64123.81
MG,3119609,Coronel Pacheco,79744.49
MG,3119708,Coronel Xavier Chaves,141804.97
MG,3119807,Córrego Danta,232809.59
MG,3119906,Córrego do Bom Jesus,221066.06
MG,3119955,Córrego Fundo,223806.15
MG,3120003,Córrego Novo,35502.05
MG,3120102,Couto de Magalhães de Minas,94146.13
MG,3120151,Crisólita,22853.46
MG,3120201,Cristais,1982786.43
MG,3120300,Cristália,2473.58
MG,3120409,Cristiano Otoni,86557.62
MG,3120508,Cristina,302533.97
MG,3120607,Crucilândia,347580.54
MG,3120706,Cruzeiro da Fortaleza,174893.82
MG,3120805,Cruzília,1477641.9
MG,3120839,Cuparaque,109625.56
MG,3120870,Curral de Dentro,32184.79
MG,3120904,Curvelo,17269185.42
MG,3121001,Datas,80102.27
MG,3121100,Delfim Moreira,353346.39
MG,3121209,Delfinópolis,973952.07
MG,3121258,Delta,516342.11
MG,3121308,Descoberto,105866.27
MG,3121407,Desterro de Entre Rios,231265.23
MG,3121506,Desterro do Melo,252184.71
MG,3121605,Diamantina,5296347.25
MG,3121704,Diogo de Vasconcelos,42698.1
MG,3121803,Dionísio,39175.13
MG,3121902,Divinésia,236509.15
MG,3122009,Divino,916071.07
MG,3122108,Divino das Laranjeiras,67535.55
MG,3122207,Divinolândia de Minas,122218.96
MG,3122306,Divinópolis,57436138.96
MG,3122355,Divisa Alegre,51802.96
MG,3122405,Divisa Nova,147726.71
MG,3122454,Divisópolis,44274.95
MG,3122470,Dom Bosco,130513.48
MG,3122504,Dom Cavati,67478.01
MG,3122603,Dom Joaquim,188475.81
MG,3122702,Dom Silvério,237963.13
MG,3122801,Dom Viçoso,39415.22
MG,3122900,Dona Eusébia,103801.66
MG,3123007,Dores de Campos,251144.54
MG,3123106,Dores de Guanhães,91068.72
MG,3123205,Dores do Indaiá,1539825.86
MG,3123304,Dores do Turvo,177483.02
MG,3123403,Doresópolis,4264.35
MG,3123502,Douradoquara,57722.54
MG,3123528,Durandé,76293.99
MG,3123601,Elói Mendes,2414900.25
MG,3123700,Engenheiro Caldas,208219.08
MG,3123809,Engenheiro Navarro,4703.64
MG,3123858,Entre Folhas,119158.09
MG,3123908,Entre Rios de Minas,463718.07
MG,3124005,Ervália,763781.2
MG,3124104,Esmeraldas,13928405.66
MG,3124203,Espera Feliz,1516311.74
MG,3124302,Espinosa,257304.23
MG,3124401,Espírito Santo do Dourado,282723.86
MG,3124500,Estiva,450991.34
MG,3124609,Estrela Dalva,54025.25
MG,3124708,Estrela do Indaiá,60909.5
MG,3124807,Estrela do Sul,145150.58
MG,3124906,Eugenópolis,266170.82
MG,3125002,Ewbank da Câmara,97225.99
MG,3125101,Extrema,5877071.56
MG,3125200,Fama,424779.84
MG,3125309,Faria Lemos,
MG,3125408,Felício dos Santos,98109.23
MG,3125507,São Gonçalo do Rio Preto,57514.42
MG,3125606,Felisburgo,104894.7
MG,3125705,Felixlândia,1630378.87
MG,3125804,Fernandes Tourinho,82784.74
MG,3125903,Ferros,98661.44
MG,3125952,Fervedouro,137276.2
MG,3126000,Florestal,538700.02
MG,3126109,Formiga,8495434.24
MG,3126208,Formoso,89167.9
MG,3126307,Fortaleza de Minas,
MG,3126406,Fortuna de Minas,290752.48
MG,3126505,Francisco Badaró,41093.94
MG,3126604,Francisco Dumont,50321.36
MG,3126703,Francisco Sá,637656.23
MG,3126752,Franciscópolis,18120.89
MG,3126802,Frei Gaspar,37076.24
MG,3126901,Frei Inocêncio,41855.7
MG,3126950,Frei Lagonegro,11001.78
MG,3127008,Fronteira,2856169.59
MG,3127057,Fronteira dos Vales,56514.06
MG,3127073,Fruta de Leite,50078.08
MG,3127107,Frutal,9393932.03
MG,3127206,Funilândia,965158.76
MG,3127305,Galiléia,97455.18
MG,3127339,Gameleiras,1622.83
MG,3127354,Glaucilândia,8184.86
MG,3127370,Goiabeira,104224.47
MG,3127388,Goianá,366132.68
MG,3127404,Gonçalves,405510.18
MG,3127503,Gonzaga,48353.84
MG,3127602,Gouveia,164120.82
MG,3127701,Governador Valadares,76835132.83
MG,3127800,Grão Mogol,2902.51
MG,3127909,Grupiara,22200.35
MG,3128006,Guanhães,4964820.89
MG,3128105,Guapé,1326321.69
MG,3128204,Guaraciaba,135755.9
MG,3128253,Guaraciama,43843.18
MG,3128303,Guaranésia,2481012.04
MG,3128402,Guarani,621083.7
MG,3128501,Guarará,198444.57
MG,3128600,Guarda-Mor,199132.3
MG,3128709,Guaxupé,14927504.75
MG,3128808,Guidoval,278967.75
MG,3128907,Guimarânia,398383.49
MG,3129004,Guiricema,578754.97
MG,3129103,Gurinhatã,123578.53
MG,3129202,Heliodora,258580.21
MG,3129301,Iapu,345015.56
MG,3129400,Ibertioga,69644.59
MG,3129509,Ibiá,1890502.22
MG,3129608,Ibiaí,83701.45
MG,3129657,Ibiracatu,19702.26
MG,3129707,Ibiraci,288739.62
MG,3129806,Ibirité,27300934.48
MG,3129905,Ibitiúra de Minas,137479.96
MG,3130002,Ibituruna,114007.98
MG,3130051,Icaraí de Minas,132.23
MG,3130101,Igarapé,6862156.35
MG,3130200,Igaratinga,1221472.84
MG,3130309,Iguatama,275878.11
MG,3130408,Ijaci,2642378.92
MG,3130507,Ilicínea,585996.29
MG,3130556,Imbé de Minas,44856.46
MG,3130606,Inconfidentes,1030632.78
MG,3130655,Indaiabira,3108.49
MG,3130705,Indianópolis,382033.74
MG,3130804,Ingaí,80043.64
MG,3130903,Inhapim,1099768.76
MG,3131000,Inhaúma,915672.41
MG,3131109,Inimutaba,27023.81
MG,3131158,Ipaba,378973.42
MG,3131208,Ipanema,862079.51
MG,3131307,Ipatinga,99423730.69
MG,3131406,Ipiaçu,82167.57
MG,3131505,Ipuiúna,1037452.89
MG,3131604,Iraí de Minas,308317.1
MG,3131703,Itabira,19098865.27
MG,3131802,Itabirinha de Mantena,288177.76
MG,3131901,Itabirito,4772887.96
MG,3132008,Itacambira,2723.72
MG,3132107,Itacarambi,355077.54
MG,3132206,Itaguara,417612.07
MG,3132305,Itaipé,206419.02
MG,3132404,Itajubá,17259320.91
MG,3132503,Itamarandiba,2028541.27
MG,3132602,Itamarati de Minas,118169.45
MG,3132701,Itambacuri,113727.77
MG,3132800,Itambé do Mato Dentro,36234.25
MG,3132909,Itamogi,759668.64
MG,3133006,Itamonte,1009512.02
MG,3133105,Itanhandu,1080207.36
MG,3133204,Itanhomi,454476.35
MG,3133303,Itaobim,338791.09
MG,3133402,Itapagipe,1372832.89
MG,3133501,Itapecerica,2165129.67
MG,3133600,Itapeva,1348360.33
MG,3133709,Itatiaiuçu,218351.5
MG,3133758,Itaú de Minas,1764027.89
MG,3133808,Itaúna,14690365.77
MG,3133907,Itaverava,24579.04
MG,3134004,Itinga,182120.3
MG,3134103,Itueta,214521.34
MG,3134202,Ituiutaba,27621697.68
MG,3134301,Itumirim,71119.67
MG,3134400,Iturama,6741198.55
MG,3134509,Itutinga,105165.85
MG,3134608,Jaboticatubas,6732279.1
MG,3134707,Jacinto,190169.61
MG,3134806,Jacuí,1043415.96
MG,3134905,Jacutinga,7976213.53
MG,3135001,Jaguaraçu,64604.5
MG,3135050,Jaíba,752321.53
MG,3135076,Jampruca,24266.12
MG,3135100,Janaúba,4680427.01
MG,3135209,Januária,1654136.55
MG,3135308,Japaraíba,237967.85
MG,3135357,Japonvar,10301.14
MG,3135407,Jeceaba,1790834.48
MG,3135456,Jenipapo de Minas,68224.9
MG,3135506,Jequeri,374714.74
MG,3135605,Jequitaí,21870.75
MG,3135704,Jequitibá,490318.15
MG,3135803,Jequitinhonha,247270.83
MG,3135902,Jesuânia,317991.59
MG,3136009,Joaíma,97864.54
MG,3136108,Joanésia,
MG,3136207,João Monlevade,13377594.99
MG,3136306,João Pinheiro,5508737.2
MG,3136405,Joaquim Felício,44980.36
MG,3136504,Jordânia,10262.4
MG,3136520,José Gonçalves de Minas,38335.56
MG,3136553,José Raydan,35297.03
MG,3136579,Josenópolis,13324.71
MG,3136603,Nova União,98006.91
MG,3136652,Juatuba,2903223.87
MG,3136702,Juiz de Fora,228443944.62
MG,3136801,Juramento,7147.64
MG,3136900,Juruaia,1012940.5
MG,3136959,Juvenília,17309.55
MG,3137007,Ladainha,109272.02
MG,3137106,Lagamar,311967.62
MG,3137205,Lagoa da Prata,3388334.5
MG,3137304,Lagoa dos Patos,32382.72
MG,3137403,Lagoa Dourada,825633.59
MG,3137502,Lagoa Formosa,3078227.32
MG,3137536,Lagoa Grande,227605.53
MG,3137601,Lagoa Santa,36284603.21
MG,3137700,Lajinha,427790.8
MG,3137809,Lambari,4523273.5
MG,3137908,Lamim,26081.44
MG,3138005,Laranjal,315519.53
MG,3138104,Lassance,113174.34
MG,3138203,Lavras,23148554.71
MG,3138302,Leandro Ferreira,161883.47
MG,3138351,Leme do Prado,31889.72
MG,3138401,Leopoldina,5369270.18
MG,3138500,Liberdade,145877.36
MG,3138609,Lima Duarte,923309.12
MG,3138625,Limeira do Oeste,819751.71
MG,3138658,Lontra,706.05
MG,3138674,Luisburgo,87278.22
MG,3138682,Luislândia,31536.96
MG,3138708,Luminárias,328488.02
MG,3138807,Luz,1334066.51
MG,3138906,Machacalis,205858.51
MG,3139003,Machado,7171670.63
MG,3139102,Madre de Deus de Minas,38556.87
MG,3139201,Malacacheta,257200.42
MG,3139250,Mamonas,136.96
MG,3139300,Manga,213972.22
MG,3139409,Manhuaçu,9433446.3
MG,3139508,Manhumirim,1753510.3
MG,3139607,Mantena,1798277.16
MG,3139706,Maravilhas,201388.05
MG,3139805,Mar de Espanha,1406690.38
MG,3139904,Maria da Fé,631205.69
MG,3140001,Mariana,5539728.51
MG,3140100,Marilac,57013.4
MG,3140159,Mário Campos,832654.54
MG,3140209,Maripá de Minas,177503.19
MG,3140308,Marliéria,122386.95
MG,3140407,Marmelópolis,48818.75
MG,3140506,Martinho Campos,593805.88
MG,3140530,Martins Soares,102176.26
MG,3140555,Mata Verde,73322.24
MG,3140605,Materlândia,24831.48
MG,3140704,Mateus Leme,5426633.96
MG,3140803,Matias Barbosa,617176.37
MG,3140852,Matias Cardoso,29956.11
MG,3140902,Matipó,295398.78
MG,3141009,Mato Verde,46386.67
MG,3141108,Matozinhos,3009018.71
MG,3141207,Matutina,228894.98
MG,3141306,Medeiros,51756.8
MG,3141405,Medina,238647.21
MG,3141504,Mendes Pimentel,115790.48
MG,3141603,Mercês,202711.84
MG,3141702,Mesquita,49022.28
MG,3141801,Minas Novas,424677.37
MG,3141900,Minduri,102860.68
MG,3142007,Mirabela,127419.59
MG,3142106,Miradouro,203227.42
MG,3142205,Miraí,715671.89
MG,3142254,Miravânia,1889.41
MG,3142304,Moeda,279617.25
MG,3142403,Moema,237122.75
MG,3142502,Monjolos,32994.54
MG,3142601,Monsenhor Paulo,897226.73
MG,3142700,Montalvânia,58540.27
MG,3142809,Monte Alegre de Minas,1661867.88
MG,3142908,Monte Azul,30194.91
MG,3143005,Monte Belo,698824.39
MG,3143104,Monte Carmelo,5857128.44
MG,3143153,Monte Formoso,55297.3
MG,3143203,Monte Santo de Minas,1162976.08
MG,3143302,Montes Claros,72436976.24
MG,3143401,Monte Sião,9367049.07
MG,3143450,Montezuma,8382.6
MG,3143500,Morada Nova de Minas,343114.34
MG,3143609,Morro da Garça,47472.75
MG,3143708,Morro do Pilar,57982.95
MG,3143807,Munhoz,622246.69
MG,3143906,Muriaé,21127565.16
MG,3144003,Mutum,172423.83
MG,3144102,Muzambinho,2503145.16
MG,3144201,Nacip Raydan,51008.72
MG,3144300,Nanuque,904126.21
MG,3144359,Naque,181389.01
MG,3144375,Natalândia,29615.46
MG,3144409,Natércia,265463.03
MG,3144508,Nazareno,350640.19
MG,3144607,Nepomuceno,1509701.38
MG,3144656,Ninheira,
MG,3144672,Nova Belém,22977.42
MG,3144706,Nova Era,1543879.63
MG,3144805,Nova Lima,61233382.41
MG,3144904,Nova Módica,48466.67
MG,3145000,Nova Ponte,351447.75
MG,3145059,Nova Porteirinha,139493.59
MG,3145109,Nova Resende,848806.81
MG,3145208,Nova Serrana,12159592.61
MG,3145307,Novo Cruzeiro,776377.53
MG,3145356,Novo Oriente de Minas,148874.06
MG,3145372,Novorizonte,41536.41
MG,3145406,Olaria,24324.38
MG,3145455,Olhos-d'Água,12560.46
MG,3145505,Olímpio Noronha,84598.71
MG,3145604,Oliveira,6442066.01
MG,3145703,Oliveira Fortes,7104.23
MG,3145802,Onça de Pitangui,39917.72
MG,3145851,Oratórios,120180.88
MG,3145877,Orizânia,19349.63
MG,3145901,Ouro Branco,8431698.52
MG,3146008,Ouro Fino,6937457.78
MG,3146107,Ouro Preto,10762492.25
MG,3146206,Ouro Verde de Minas,2074.7
MG,3146255,Padre Carvalho,3598.92
MG,3146305,Padre Paraíso,618927.13
MG,3146404,Paineiras,108908.25
MG,3146503,Pains,284807.82
MG,3146552,Pai Pedro,10187.78
MG,3146602,Paiva,39017.2
MG,3146701,Palma,283348.77
MG,3146750,Palmópolis,44043.75
MG,3146909,Papagaios,506951.74
MG,3147006,Paracatu,8257119.06
MG,3147105,Pará de Minas,18953184.33
MG,3147204,Paraguaçu,2168486.97
MG,3147303,Paraisópolis,1344635.15
MG,3147402,Paraopeba,1825838.6
MG,3147501,Passabém,24518.6
MG,3147600,Passa Quatro,2214282.69
MG,3147709,Passa Tempo,401881.36
MG,3147808,Passa-Vinte,50185.74
MG,3147907,Passos,38460746.79
MG,3147956,Patis,2561.69
MG,3148004,Patos de Minas,36326860.15
MG,3148103,Patrocínio,15324308.23
MG,3148202,Patrocínio do Muriaé,124374.78
MG,3148301,Paula Cândido,263705.78
MG,3148400,Paulistas,36356.59
MG,3148509,Pavão,128278.26
MG,3148608,Peçanha,213414.28
MG,3148707,Pedra Azul,358210.08
MG,3148756,Pedra Bonita,
MG,3148806,Pedra do Anta,53438.66
MG,3148905,Pedra do Indaiá,66611.85
MG,3149002,Pedra Dourada,32614.8
MG,3149101,Pedralva,301224.17
MG,3149150,Pedras de Maria da Cruz,37095.7
MG,3149200,Pedrinópolis,46242.77
MG,3149309,Pedro Leopoldo,21240321.74
MG,3149408,Pedro Teixeira,81272.38
MG,3149507,Pequeri,177017.26
MG,3149606,Pequi,82837.91
MG,3149705,Perdigão,892047.31
MG,3149804,Perdizes,969031.55
MG,3149903,Perdões,1566618.45
MG,3149952,Periquito,175943.37
MG,3150000,Pescador,82033.44
MG,3150109,Piau,76072.39
MG,3150158,Piedade de Caratinga,341755.98
MG,3150208,Piedade de Ponte Nova,13323.81
MG,3150307,Piedade do Rio Grande,187480.18
MG,3150406,Piedade dos Gerais,264167.94
MG,3150505,Pimenta,952675.78
MG,3150539,Pingo-d'Água,65134.75
MG,3150570,Pintópolis,16003.29
MG,3150604,Piracema,284758.38
MG,3150703,Pirajuba,509941.02
MG,3150802,Piranga,381828.03
MG,3150901,Piranguçu,144522.98
MG,3151008,Piranguinho,1204063.21
MG,3151107,Pirapetinga,981141.76
MG,3151206,Pirapora,4690547.68
MG,3151305,Piraúba,1272932.95
MG,3151404,Pitangui,2389123.57
MG,3151503,Piumhi,7864304.01
MG,3151602,Planura,981541.97
MG,3151701,Poço Fundo,1835119.8
MG,3151800,Poços de Caldas,65415668.37
MG,3151909,Pocrane,380835.01
MG,3152006,Pompéu,5468674.57
MG,3152105,Ponte Nova,15316180.9
MG,3152131,Ponto Chique,7798.83
MG,3152170,Ponto dos Volantes,70865.23
MG,3152204,Porteirinha,659547.51
MG,3152303,Porto Firme,142183.88
MG,3152402,Poté,132008.06
MG,3152501,Pouso Alegre,30279375.44
MG,3152600,Pouso Alto,231649.09
MG,3152709,Prados,415959.84
MG,3152808,Prata,668557.45
MG,3152907,Pratápolis,787658.42
MG,3153004,Pratinha,74463.99
MG,3153103,Presidente Bernardes,1398.96
MG,3153202,Presidente Juscelino,31948.81
MG,3153301,Presidente Kubitschek,25008.26
MG,3153400,Presidente Olegário,628678.1
MG,3153509,Alto Jequitibá,342017.18
MG,3153608,Prudente de Morais,860651.39
MG,3153707,Quartel Geral,171829.17
MG,3153806,Queluzito,58041.72
MG,3153905,Raposos,691105.08
MG,3154002,Raul Soares,1048678.41
MG,3154101,Recreio,304728.11
MG,3154150,Reduto,
MG,3154200,Resende Costa,639954.71
MG,3154309,Resplendor,854207.29
MG,3154408,Ressaquinha,81169.25
MG,3154457,Riachinho,51061.81
MG,3154507,Riacho dos Machados,5183.42
MG,3154606,Ribeirão das Neves,34328090.27
MG,3154705,Ribeirão Vermelho,264543.02
MG,3154804,Rio Acima,1690566.46
MG,3154903,Rio Casca,624683.83
MG,3155009,Rio Doce,50109.66
MG,3155108,Rio do Prado,18878.42
MG,3155207,Rio Espera,68942.33
MG,3155306,Rio Manso,170153.37
MG,3155405,Rio Novo,415252.92
MG,3155504,Rio Paranaíba,1328374.27
MG,3155603,Rio Pardo de Minas,282584.33
MG,3155702,Rio Piracicaba,765497.89
MG,3155801,Rio Pomba,1638551.36
MG,3155900,Rio Preto,279998.23
MG,3156007,Rio Vermelho,9370.39
MG,3156106,Ritápolis,69445.75
MG,3156205,Rochedo de Minas,51056.11
MG,3156304,Rodeiro,1233397.34
MG,3156403,Romaria,75534.22
MG,3156452,Rosário da Limeira,91649.62
MG,3156502,Rubelita,156536.41
MG,3156601,Rubim,62263.28
MG,3156700,Sabará,12616316.23
MG,3156809,Sabinópolis,1065283.58
MG,3156908,Sacramento,3629651.01
MG,3157005,Salinas,2186327.03
MG,3157104,Salto da Divisa,68127.28
MG,3157203,Santa Bárbara,2248785.7
MG,3157252,Santa Bárbara do Leste,54794.94
MG,3157278,Santa Bárbara do Monte Verde,31719.87
MG,3157302,Santa Bárbara do Tugúrio,45985.48
MG,3157336,Santa Cruz de Minas,256204.87
MG,3157377,Santa Cruz de Salinas,29812.44
MG,3157401,Santa Cruz do Escalvado,30294.61
MG,3157500,Santa Efigênia de Minas,46929.22
MG,3157609,Santa Fé de Minas,20109.97
MG,3157658,Santa Helena de Minas,36478.06
MG,3157708,Santa Juliana,335338.35
MG,3157807,Santa Luzia,20156720.33
MG,3157906,Santa Margarida,405263.29
MG,3158003,Santa Maria de Itabira,405988.27
MG,3158102,Santa Maria do Salto,65567.96
MG,3158201,Santa Maria do Suaçuí,39146.79
MG,3158300,Santana da Vargem,578619.57
MG,3158409,Santana de Cataguases,59680.01
MG,3158508,Santana de Pirapama,204496.91
MG,3158607,Santana do Deserto,94713.23
MG,3158706,Santana do Garambéu,12407.45
MG,3158805,Santana do Jacaré,85428.68
MG,3158904,Santana do Manhuaçu,
MG,3158953,Santana do Paraíso,3013466.33
MG,3159001,Santana do Riacho,918381.5
MG,3159100,Santana dos Montes,55993.51
MG,3159209,Santa Rita de Caldas,589690.59
MG,3159308,Santa Rita de Jacutinga,228635.11
MG,3159357,Santa Rita de Minas,299524.85
MG,3159407,Santa Rita de Ibitipoca,94678.88
MG,3159506,Santa Rita do Itueto,48179.94
MG,3159605,Santa Rita do Sapucaí,7523269.91
MG,3159704,Santa Rosa da Serra,105825.12
MG,3159803,Santa Vitória,1377781.24
MG,3159902,Santo Antônio do Amparo,278389.43
MG,3160009,Santo Antônio do Aventureiro,69125.42
MG,3160108,Santo Antônio do Grama,166811.4
MG,3160207,Santo Antônio do Itambé,5002.72
MG,3160306,Santo Antônio do Jacinto,
MG,3160405,Santo Antônio do Monte,3243009.95
MG,3160454,Santo Antônio do Retiro,8707.25
MG,3160504,Santo Antônio do Rio Abaixo,33322.33
MG,3160603,Santo Hipólito,117973.61
MG,3160702,Santos Dumont,2775258.14
MG,3160801,São Bento Abade,310274.91
MG,3160900,São Brás do Suaçuí,88566.56
MG,3160959,São Domingos das Dores,34293.29
MG,3161007,São Domingos do Prata,920390.22
MG,3161056,São Félix de Minas,86716.46
MG,3161106,São Francisco,1491819.86
MG,3161205,São Francisco de Paula,261620.61
MG,3161304,São Francisco de Sales,365704.84
MG,3161403,São Francisco do Glória,235962.67
MG,3161502,São Geraldo,490064.97
MG,3161601,São Geraldo da Piedade,34659.01
MG,3161650,São Geraldo do Baixio,28387.34
MG,3161700,São Gonçalo do Abaeté,349133.67
MG,3161809,São Gonçalo do Pará,391864.25
MG,3161908,São Gonçalo do Rio Abaixo,741149.62
MG,3162005,São Gonçalo do Sapucaí,1259315.5
MG,3162104,São Gotardo,2947676.29
MG,3162203,São João Batista do Glória,550093.87
MG,3162252,São João da Lagoa,203.2
MG,3162302,São João da Mata,46964.97
MG,3162401,São João da Ponte,3788.7
MG,3162450,São João das Missões,17707.26
MG,3162500,São João del Rei,14364729.14
MG,3162559,São João do Manhuaçu,181219.73
MG,3162575,São João do Manteninha,89598.59
MG,3162609,São João do Oriente,82245.77
MG,3162658,São João do Pacuí,2009.6
MG,3162708,São João do Paraíso,692531.06
MG,3162807,São João Evangelista,283358.08
MG,3162906,São João Nepomuceno,3632462.76
MG,3162922,São Joaquim de Bicas,2916049.57
MG,3162948,São José da Barra,874356.46
MG,3162955,São José da Lapa,3025545.28
MG,3163003,São José da Safira,34028.23
MG,3163102,São José da Varginha,168804.23
MG,3163201,São José do Alegre,105711.88
MG,3163300,São José do Divino,37951.39
MG,3163409,São José do Goiabal,171509.5
MG,3163508,São José do Jacuri,20219.32
MG,3163607,São José do Mantimento,
MG,3163706,São Lourenço,19369839.57
MG,3163805,São Miguel do Anta,113512.77
MG,3163904,São Pedro da União,331796.17
MG,3164001,São Pedro dos Ferros,173798.18
MG,3164100,São Pedro do Suaçuí,75334.5
MG,3164209,São Romão,28905.63
MG,3164308,São Roque de Minas,512343.44
MG,3164407,São Sebastião da Bela Vista,178387.75
MG,3164431,São Sebastião da Vargem Alegre,62813.77
MG,3164472,São Sebastião do Anta,121397.91
MG,3164506,São Sebastião do Maranhão,18706.11
MG,3164605,São Sebastião do Oeste,65729.15
MG,3164704,São Sebastião do Paraíso,15147026.62
MG,3164803,São Sebastião do Rio Preto,2791.51
MG,3164902,São Sebastião do Rio Verde,173166.14
MG,3165008,São Tiago,208382.46
MG,3165107,São Tomás de Aquino,556921.93
MG,3165206,São Thomé das Letras,184532.03
MG,3165305,São Vicente de Minas,305141.25
MG,3165404,Sapucaí-Mirim,418771.17
MG,3165503,Sardoá,71673.7
MG,3165537,Sarzedo,5905112.08
MG,3165552,Setubinha,21929.67
MG,3165560,Sem-Peixe,5972.63
